"Lote";"TipoLote";"Secao";"CaminhoRelativo";"CaminhoAbsoluto";"Extensao";"TamanhoBytes";"TamanhoMB";"EstadoGitIgnore";"ModificadoEm"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Marketing Conecta Acirv.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Marketing Conecta Acirv.txt";".txt";"79674";"0,076";"NAO_IGNORADO";"2025-11-10 17:38:10"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Pres. José Carlos Cintra.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Pres. José Carlos Cintra.txt";".txt";"21057";"0,02";"NAO_IGNORADO";"2025-11-11 10:32:44"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Programa Empreender - Núcleo S. Mulheres Empreendedoras .txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Programa Empreender - Núcleo S. Mulheres Empreendedoras .txt";".txt";"67524";"0,064";"NAO_IGNORADO";"2025-11-11 10:28:14"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com PROGRAMA EMPREENDER- NÚCLEO MULHER EMPREENDEDORA RV.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com PROGRAMA EMPREENDER- NÚCLEO MULHER EMPREENDEDORA RV.txt";".txt";"17582";"0,017";"NAO_IGNORADO";"2025-11-11 10:37:14"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Raphael Valongo ACIRV.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Raphael Valongo ACIRV.txt";".txt";"56252";"0,054";"NAO_IGNORADO";"2025-11-10 17:37:30"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com REDE FACIEG OFICIAL.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com REDE FACIEG OFICIAL.txt";".txt";"3197739";"3,05";"NAO_IGNORADO";"2025-11-11 10:16:48"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Renata Gomes ACIRV.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Renata Gomes ACIRV.txt";".txt";"282303";"0,269";"NAO_IGNORADO";"2025-11-11 10:11:56"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com SUDOEXPO 2️⃣0️⃣2️⃣6️⃣.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com SUDOEXPO 2️⃣0️⃣2️⃣6️⃣.txt";".txt";"540751";"0,516";"NAO_IGNORADO";"2025-11-11 10:26:30"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Sudoexpo 26 - Marketing.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Sudoexpo 26 - Marketing.txt";".txt";"67427";"0,064";"NAO_IGNORADO";"2025-11-11 10:34:42"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com TerraBrasilis + ACIRV.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com TerraBrasilis + ACIRV.txt";".txt";"214";"0";"NAO_IGNORADO";"2025-11-11 10:45:08"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com VCOM Inteligência Digital.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com VCOM Inteligência Digital.txt";".txt";"172673";"0,165";"NAO_IGNORADO";"2025-11-10 17:36:50"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com Vivianne Oliveira Vcom.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com Vivianne Oliveira Vcom.txt";".txt";"124971";"0,119";"NAO_IGNORADO";"2026-04-10 14:40:56"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com 💄💋👠Equipe Acirv✍🏻💻📊.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com 💄💋👠Equipe Acirv✍🏻💻📊.txt";".txt";"390080";"0,372";"NAO_IGNORADO";"2025-11-11 10:28:44"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Conversas zap";"Conversas zap\Conversa do WhatsApp com 📺📻🎙Só comunicadores🎙 📻📺.txt";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Conversas zap\Conversa do WhatsApp com 📺📻🎙Só comunicadores🎙 📻📺.txt";".txt";"4705";"0,004";"NAO_IGNORADO";"2025-11-11 10:42:58"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\ads_information\ads_and_topics\ads_viewed.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\ads_information\ads_and_topics\ads_viewed.json";".json";"55692";"0,053";"NAO_IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\ads_information\ads_and_topics\posts_viewed.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\ads_information\ads_and_topics\posts_viewed.json";".json";"119359";"0,114";"NAO_IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\ads_information\ads_and_topics\posts_you're_not_interested_in.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\ads_information\ads_and_topics\posts_you're_not_interested_in.json";".json";"1931";"0,002";"NAO_IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\ads_information\ads_and_topics\videos_watched.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\ads_information\ads_and_topics\videos_watched.json";".json";"105253";"0,1";"NAO_IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\ads_information\instagram_ads_and_businesses\ads_about_meta.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\ads_information\instagram_ads_and_businesses\ads_about_meta.json";".json";"390";"0";"NAO_IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\ads_information\instagram_ads_and_businesses\advertisers_using_your_activity_or_information.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\ads_information\instagram_ads_and_businesses\advertisers_using_your_activity_or_information.json";".json";"109772";"0,105";"NAO_IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\ads_information\instagram_ads_and_businesses\other_categories_used_to_reach_you.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\ads_information\instagram_ads_and_businesses\other_categories_used_to_reach_you.json";".json";"875";"0,001";"NAO_IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\apps_and_websites_off_of_instagram\apps_and_websites\active_apps.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\apps_and_websites_off_of_instagram\apps_and_websites\active_apps.json";".json";"336";"0";"NAO_IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\apps_and_websites_off_of_instagram\apps_and_websites\expired_apps.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\apps_and_websites_off_of_instagram\apps_and_websites\expired_apps.json";".json";"629";"0,001";"NAO_IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\apps_and_websites_off_of_instagram\apps_and_websites\your_activity_off_meta_technologies.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\apps_and_websites_off_of_instagram\apps_and_websites\your_activity_off_meta_technologies.json";".json";"2122";"0,002";"NAO_IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\logged_information\link_history\link_history.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\logged_information\link_history\link_history.json";".json";"10517";"0,01";"IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\logged_information\link_history\your_link_history_settings.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\logged_information\link_history\your_link_history_settings.json";".json";"311";"0";"IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\logged_information\past_instagram_insights\audience_insights.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\logged_information\past_instagram_insights\audience_insights.json";".json";"3235";"0,003";"NAO_IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\logged_information\past_instagram_insights\content_interactions.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\logged_information\past_instagram_insights\content_interactions.json";".json";"4441";"0,004";"NAO_IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\logged_information\past_instagram_insights\live_videos.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\logged_information\past_instagram_insights\live_videos.json";".json";"414130";"0,395";"NAO_IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\logged_information\past_instagram_insights\posts.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\logged_information\past_instagram_insights\posts.json";".json";"553281";"0,528";"NAO_IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\logged_information\past_instagram_insights\profiles_reached.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\logged_information\past_instagram_insights\profiles_reached.json";".json";"1760";"0,002";"NAO_IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\logged_information\recent_searches\profile_searches.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\logged_information\recent_searches\profile_searches.json";".json";"10878";"0,01";"IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\logged_information\recent_searches\word_or_phrase_searches.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\logged_information\recent_searches\word_or_phrase_searches.json";".json";"1689";"0,002";"IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\personal_information\device_information\camera_information.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\personal_information\device_information\camera_information.json";".json";"2843";"0,003";"IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\personal_information\device_information\devices.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\personal_information\device_information\devices.json";".json";"8978";"0,009";"IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\personal_information\device_information\two-factor_authentication.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\personal_information\device_information\two-factor_authentication.json";".json";"289";"0";"IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\personal_information\information_about_you\locations_of_interest.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\personal_information\information_about_you\locations_of_interest.json";".json";"1417";"0,001";"IGNORADO";"2026-04-10 14:36:22"
"DADOS ACIRV - HD EXTERNO - captura anterior";"captura_anterior";"Dados instagram - 100425 até 100426";"Dados instagram - 100425 até 100426\personal_information\information_about_you\possible_phone_numbers.json";"C:\Github\ACIRV-Notebook\000-Arquivos-originais\DADOS ACIRV - HD EXTERNO\Dados instagram - 100425 até 100426\personal_information\information_about_you\possible_phone_numbers.json";".json";"700";"0,001";"IGNORADO";"2026-04-10 14:36:22"
