source_row;data_hora_brt;id_midia;legenda;impressoes;alcance;curtidas;comentarios;compartilhamentos;salvamentos;visitas_perfil;seguidores_gerados;toques_link_externo;interacoes_calculadas;origem;source_blob_sha;status_validacao
11;2026-03-24T14:20:00-03:00;18088069397192203;"A Sudoexpo 2026 é o ambiente ideal para:
✔ Lançamentos
✔ Demonstrações
✔ Prospecção
✔ Fortalecimento de marca
Garanta seu estande.";335;301;10;0;2;0;4;0;;12;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
12;2026-03-20T10:47:15-03:00;18074251484180086;"Liderança de alta performance exige a capacidade técnica de decifrar padrões humanos para alocar talentos com precisão e garantir uma equipe que gera impacto positivo. Você irá aprender na prática sobre perfis comportamentais e metodologia DISC na #ACIRV no dia 31/03, às 19h.

Ao dominar ferramentas de análise, o gestor deixa de atuar por intuição para conduzir sua equipe baseando-se em evidências e dados comportamentais. Esse conhecimento é oferecido a população de Rio Verde através de uma parceria do @sebrae com a #ACIRV, provando que #ConectarParaCrescer é o método fundamental para fomentar a economia de #RioVerde e para quem busca articular uma comunicação eficiente e construir um alicerce de produtividade sustentável. Nesta oficina, você desenvolve planos de ação imediatos para mitigar ruídos internos e maximizar o desempenho coletivo através de uma gestão madura.

As inscrições estão disponíveis pelo link na bio.

Aqui, ninguém cresce isolado. A gente cresce conectado.";507;385;12;1;10;1;10;0;9;24;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
13;2026-03-18T13:57:15-03:00;18334138318300241;"A Sudoexpo nasce de um propósito claro: impulsionar o desenvolvimento do Sudoeste Goiano por meio de conexões que geram resultados.
📍 Estacionamento do Teatro Lauro Martins
🗓 9 a 12 de setembro de 2026";449;395;14;1;2;0;2;0;;17;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
14;2026-03-18T10:29:48-03:00;17919814770276603;"Liderança produtiva exige um alicerce emocional robusto, capaz de sustentar decisões estratégicas sem o esgotamento da própria essência. No dia 26 de março, às 07h30, o Café entre Amigos Especial Mês da Mulher recebe @thallita.lopes para um diagnóstico preciso sobre como o autoconhecimento e o estabelecimento de limites saudáveis impactam diretamente a performance e a condução de negócios.

Este encontro no auditório da #ACIRV demonstra que #ConectarParaCrescer começa pela gestão eficiente da própria energia e pela clareza absoluta no posicionamento. Discutir como o autocuidado consolida relações de valor é fundamental para quem busca uma governança equilibrada e resultados no mercado atual, unindo o bem-estar pessoal à solidez profissional.

Inscreva-se pelo link na bio do nosso instagram.

Aqui, ninguém cresce isolado. A gente cresce conectado.";2212;1424;70;17;29;2;9;1;6;118;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
15;2026-03-13T17:33:14-03:00;17866381965504218;"O que leva um cumprimento casual virar um contrato assinado é a estrutura de um pitch de impacto, competência que o administrador e palestrante Urley Oliveira consolidou ao liderar ecossistemas de mais de 100 empresários em nossa região. 

Como sócio-franqueado da @Vox2you_RioVerde, Urley traz para a Mesa de Networking Conecta um método fundamentado em autoridade e influência para converter diálogos em resultados. Ao dominar a transição do contato ao contrato, o empreendedor assume a condução de suas negociações com clareza e intenção, validando que a estratégia de #ConectarParaCrescer é o alicerce para parcerias comerciais sólidas e duradouras. 

As vagas para esta edição já estão quase no fim, o link de inscrição para garantir sua cadeira está disponível na bio do nosso perfil.

Aqui, ninguém cresce isolado. A gente cresce conectado.";860;687;29;3;9;1;0;0;;42;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
16;2026-03-13T17:25:58-03:00;18089046539169888;"Termos ganhado espaço nas rádios locais para democratizar informações sobre o Conecta 5° ed. prova que o networking é o ativo mais valioso do ecossistema de Rio Verde. A presença da @rcadria , @_laradutra , @tiarleycastro e @edivan.soouza na Rádio Líder e na @RioVerdeFM reforça que o projeto Conecta é a ferramenta definitiva para quem busca consolidar parcerias que geram expansão comercial.

O Conecta 5° ed. é a prova que a prática de #ConectarParaCrescer funciona como o alicerce fundamental para o fortalecimento da economia de Rio Verde. Com as vagas chegando ao limite e a procura em ritmo acelerado, garantir sua participação através do link na bio da #ACIRV é a melhor decisão para o empresário que deseja conduzir o próprio crescimento com base em alianças lucrativas.

Aqui, ninguém cresce isolado. A gente cresce conectado.";919;811;8;0;3;0;0;0;;11;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
17;2026-03-12T17:19:57-03:00;17878479537530817;"A consolidação de um de negócio forte exige buscar estratégias precisas para criar alianças comerciais. Para mapear o volume de oportunidades da 5ª edição do Conecta, a especialista @rcadria e Edivan conduzirão um diagnóstico nos microfones da @rioverde.fm, nesta sexta-feira, às 7h30.

Detalhar o ""como funciona"" da mesa de networking do Conecta na rádio reforça que #ConectarParaCrescer é o método estrutural da #ACIRV para fortalecer o empreendedorimo local. Compreender essa dinâmica capacita o empreendedor a construir novas rotas de lucro e a repensar seu networking no mercado de Rio Verde.

Aqui, ninguém cresce isolado. A gente cresce conectado.";1203;1039;29;2;3;0;0;0;;34;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
18;2026-03-12T08:04:49-03:00;17985109148958154;"O alicerce de um ecossistema econômico robusto se constrói com a presença constante nos fóruns de decisão que moldam o mercado. A participação institucional da #ACIRV na Assembleia Geral do Sicoob Empresarial consolida uma aliança estratégica vital para a região. 

Quando a #ACIRV se posiciona ativamente ao lado do @Sicoobempresarialoficial, o propósito é viabilizar soluções financeiras concretas e fortalecer o crédito empresarial. Essa renovação de parceria demonstra como a diretriz de #ConectarParaCrescer opera como um método focado na expansão dos negócios locais, integrando a nossa sólida tradição associativista às ferramentas mais modernas de fomento e gestão. 

Aqui, ninguém cresce isolado. A gente cresce conectado.";685;619;33;1;2;0;0;0;;36;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
19;2026-03-10T17:48:43-03:00;18046288877720154;"A correria do dia a dia nos impede de perceber a falta de um fluxo de caixa estruturado, o que gera risco para o lucro da operação de um MEI. É este cenário que vamos estudar e corrigir na oficina gratuita Descomplica MEI, agendada para 17 de Março, na terça-feira, às 19h, em nossa sede. 

Durante a execução deste treinamento, você vai repensar a matemática do seu serviço, mensurar o lucro das suas vendas com previsibilidade e conduzir as informações da sua declaração anual com precisão técnica. 

A parceria do @sebraegoias com a #ACIRV, essa capacitação em gestão financeira com segurança e dados e o networking com os alunos #ACIRVLovers comprova que #ConectarParaCrescer é o método definitivo para garantir a consolidação das empresas que formam o ecossistema da #ACIRV.

Se inscreva pelo link na bio.

Aqui, ninguém cresce isolado. A gente cresce conectado.";627;530;8;0;4;0;3;0;4;12;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
20;2026-03-10T17:15:07-03:00;18410678491126096;"O alicerce de um networking de alto impacto começa com o entendimento claro das oportunidades presentes no ecossistema empresarial. Para mapear o potencial de negócios fechados da 5ª edição do Conecta, @_laradutra conduzirá uma análise profunda nos microfones da @lider95fm , nesta quarta-feira, às 7h30.

A @_laradutra estar presenta na Rádio para compartilhar essa mais informações sobre esta oportunidade reforça que #ConectarParaCrescer é o método estratégico adotado pela #ACIRV para garantir a consolidação e crescimento dos empreendedores de Rio Verde.

Aqui, ninguém cresce isolado. A gente cresce conectado.";648;593;20;0;2;0;2;0;;22;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
21;2026-03-10T10:25:00-03:00;18190453264359510;"Se em 2024 nossos números foram um sucesso, imagine em 2026!
Não perca a oportunidade de levar a sua empresa para outro nível, entre em contato e garanta seu espaço na Sudoexpo 2026. ÚLTIMAS VAGAS!
Sudoexpo 2026, aqui tudo vira negócio.";205;186;7;0;1;0;0;0;;8;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
22;2026-03-07T17:08:46-03:00;18058403624392047;"O montante de R$ 4 milhões movimentados entre 196 profissionais comprova que uma rede de contatos estruturada é o alicerce mais seguro para a expansão de mercado. 

Nossa próxima rodada de negociações ocorre no dia 26/03, às 19h, na sede da associação, as vagas estão abertas.

Integrar o ecossistema da #ACIRV significa construir alianças estratégicas e transformar diálogos corporativos em fechamentos com impacto financeiro positivo. O formato da nossa mesa une a credibilidade do networking clássico à metodologias ágil que maximiza o número de contatos. É neste cenário que #ConectarParaCrescer opera como um modelo prático de aceleração financeira para quem decide participar.

Aqui, ninguém cresce isolado. A gente cresce conectado.";386;346;6;0;0;0;0;0;;6;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
23;2026-03-06T09:57:10-03:00;18033843710782641;"A Sudoexpo 2026 nasce com um conceito claro:
✨ Inovação
🌱 Sustentabilidade
🤝 Geração de Negócios
Com novos espaços temáticos e experiências imersivas, a feira foi pensada para entregar valor real a expositores e visitantes.
O futuro passa por aqui.";249;226;9;0;1;0;4;0;;10;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
24;2026-03-02T13:05:00-03:00;18113348233654884;"“A Sudoexpo é mais do que uma feira: é um símbolo do potencial produtivo e inovador da nossa região.”
— José Carlos Cintra, presidente da ACIRV
Uma visão que conecta propósito, desenvolvimento e oportunidades para todo o Sudoeste Goiano.";371;335;18;0;1;1;10;1;;20;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
25;2026-02-27T12:20:45-03:00;18092938001068859;"As alianças comerciais mais sólidas nascem de conversas estruturadas para gerar conexão, e a primeira agenda para construir essas conexões em 2026 já está definida: o Conecta - Mesa de Networking, no dia 26 de março.

Este encontro é desenhado pela #ACIRV para ir além da troca de cartões: é o ambiente para mapear parcerias, validar soluções e construir pontes entre a experiência consolidada e as inovação dos iniciantes. A dinâmica da mesa de networking é a prova de que #ConectarParaCrescer não é um lema, é um método de execução. As inscrições estão abertas pelo link na bio.

Aqui, ninguém cresce isolado. A gente cresce conectado.";1939;1133;29;0;20;2;9;0;10;51;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
26;2026-02-25T10:41:14-03:00;17929553244207174;"Leve seu negócio para outro patamar, seja um expositor da maior feira multissetorial do Centro-Oeste.
SUDOEXPO - Aqui tudo vira negócio!";328;307;5;0;2;0;1;0;;7;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
27;2026-02-20T16:37:54-03:00;18130107307522348;"O crescimento de um ecossistema se mede pela qualidade das trocas. Quando líderes de diversos setores ocupam o mesmo espaço com intenção de #ConectarParaCrescer o mercado local cresce. Com o objetivo de acelerar esse crescimento, o #Conecta retorna dia 26 de março, às 19h.

Validar o lema #ConectarParaCrescer exige sair da teoria e partir para a prática comercial. A primeira edição do ano transforma o auditório da #ACIRV em um meio para criar novas conexões. É o momento de converter networking em contratos lucrativos e expandir sua influência para além do seu nicho habitual.

As vagas são restritas para manter a qualificação do grupo. Garanta sua cadeira pelo link na bio.

Aqui, ninguém cresce isolado. A gente cresce conectado";998;733;31;3;3;1;8;0;4;38;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
28;2026-02-18T10:52:15-03:00;17909687991165181;"A Reforma Tributária redefiniu as margens de lucro e quem não entender as novas regras agora, comprometerá o caixa amanhã. A complexidade do cenário exige análise técnica de elite, não suposições.

No dia 26 de fevereiro, às 07h30, o Café entre Amigos transforma o Auditório da ACIRV em um centro de inteligência fiscal.

A condução da Dra. Ivone Vieira Pereira que é Pós-Doutora e membro do CARF garante que o conteúdo vá muito além da teoria, entregando aplicabilidade imediata para a gestão.

O patrocínio da @seguralta reforça nosso compromisso de que #ConectarParaCrescer é método onde buscamos parceiros para garantir a contínua capacitação daqueles que estão conectados consoco.

Se inscreva pelo link na bio.

Aqui, ninguém cresce isolado. A gente cresce conectado.";2050;1610;55;2;23;0;11;2;6;80;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
29;2026-02-16T18:17:39-03:00;17911658976321221;"O valor de uma ideia reside na competência técnica de tirá-la do papel e validá-la no mercado.

A oficina ""In Book: Vai lá e Faz"", organizada pela #ACIRV em parceria com o @sebraegoias, entrega o roteiro prático para quem precisa converter planejamento abstrato em execução imediata. Dominar metodologias ágeis é o requisito básico para quem busca #ConectarParaCrescer com inteligência, aplicando o pensamento digital para resolver gargalos concretos da sua operação.

No dia 26/02, às 19h, o foco será transformar intenção em métrica e gestão.

Inscreva-se pelo link na bio.

Aqui, ninguém cresce isolado. A gente cresce conectado.";625;446;10;0;6;0;1;0;;16;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
30;2026-02-09T09:12:31-03:00;18094893517778975;"ACIRV EM AÇÃO: Energia para o desenvolvimento de Rio Verde. A diretoria da ACIRV, representada pelo nosso Vice-Presidente Gustavo Lacerda, esteve na sexta-feira, em Goiânia, na sede da Equatorial Goiás, para uma reunião decisiva sobre o fornecimento de energia em nossa região.

Sabemos que a dificuldade de conexão de novas empresas e usinas solares tem travado negócios. Por isso, fomos direto à fonte buscar soluções e transparência.

🔎 O que foi discutido: ✅ A situação crítica da transmissão de energia e os impactos no Sudoeste Goiano. ✅ A garantia de análise caso a caso para microgeração, evitando negativas automáticas. ✅ Cobrança por agilidade nas obras que atendem nossas indústrias e o agronegócio.

A ACIRV segue firme no seu papel de interlocução. Não aceitamos que a falta de infraestrutura impeça o crescimento dos nossos associados. Estamos alinhando uma frente única para cobrar a ANEEL e o Governo Federal pelos investimentos necessários.

#ACIRV #RioVerde #Energia #Empreendedorismo #Equatorial DefesaDoAssociado Desenvolvimento";573;561;16;0;1;0;1;0;;17;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
31;2026-02-04T18:11:17-03:00;17879804322463456;"O ambiente de trabalho muitas vezes é a única rede de apoio de um colaborador. Saber identificar sinais de violência doméstica ou desgaste mental é estratégia de retenção e responsabilidade humana.

O Seminário Multiplicadores de Sucesso traz especialistas como o @danilo_fabiano_carvalho e a Dra. Fernanda Simão para capacitar nossos líderes. A missão da #ACIRV é clara: transformar informação técnica em ferramentas de proteção.

Ao #ConectarParaCrescer com a @pcgo_8drp, fortalecemos o papel social das nossas empresas em Rio Verde.

Aqui, ninguém cresce isolado; a gente cresce protegido e conectado. Inscreva-se pelo link na bio.";989;803;8;0;4;0;2;1;1;12;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
32;2026-02-03T14:25:27-03:00;17999947124855636;"A saúde mental da equipe deixou de ser subjetiva e virou dado técnico no PGR. Ignorar os riscos psicossociais da nova NR-01 não gera apenas problemas de gestão, gera passivo jurídico.

Para eliminar a dúvida, a #ACIRV convoca a expertise do COT Ocupacional para um workshop técnico. Com a visão jurídica de @dennerclementeadv, a análise clínica de @kassyenerodrigues e a engenharia de @erikabarcelo2019, vamos desenhar o mapa da conformidade. É o momento de entender que #ConectarParaCrescer também significa blindar sua empresa contra riscos invisíveis.

No dia 12/02, transformaremos a norma fria em estratégia quente no Auditório da ACIRV.

Inscrições pelo link na bio!

Aqui, ninguém cresce isolado. A gente cresce conectado.";2213;1432;42;8;7;2;2;1;2;59;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
33;2026-01-29T17:49:28-03:00;17934218790158374;"Estamos colocando a venda esta mesa de 4,50x1,30m.

Essa mesa é ideal para quem entende que estrutura é uma ferramenta de produtividade para alinhar times em expansão. Ao adquirir este ativo de 4,50m, você leva para o seu escritório a solidez necessária para conduzir reuniões decisivas e cria o espaço propício para, literalmente, #ConectarParaCrescer com sua equipe, reforçando nossa visão de que ninguém cresce isolado, a gente cresce conectado.

Detalhes técnicos e investimento descritos na imagem.
Interessados, entrem em contato pelo número: (64) 3620-0199";606;511;7;0;1;0;1;0;;8;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
34;2026-01-23T13:06:31-03:00;17875056231393228;"Saber vender um produto é importante, mas é a comunicação capaz de narrar o propósito por trás dele que consolida marcas e sustenta negociações de alto nível no mercado atual. Com esse foco, a #ACIRV, em uma parceria estratégica com o #Sebrae, promove a Oficina de #Storytelling do conceito à prática. O encontro acontece no dia 27/01, unindo a tradição de quem conhece o mercado de Rio Verde à inovação das metodologias ágeis e do método TED Talks.

O formato é ""mão na massa"", desenvolvendo a capacidade de utilizar dados e estatísticas para gerar atenção e, principalmente, conversão. Acreditamos que o domínio dessa competência é o que diferencia quem apenas anuncia de quem de fato lidera.

Essa também é uma oportunidade de networking para quem entende que a boa comunicação é o que permite #ConectarParaCrescer com estratégia. Na ACIRV, fortalecemos esse ambiente de troca porque entendemos que ninguém cresce isolado; a gente cresce conectado.

As vagas são limitadas, garanta sua participação através do link disponível na bio do nosso perfil.";1183;756;10;0;3;2;2;0;;15;000-Arquivos-originais/DADOS ACIRV - HD EXTERNO/Dados instagram - 100425 até 100426/logged_information/past_instagram_insights/posts.json;32e452c2d6101cea98aaccf47bb39ea37d0836bc;extraido_export_meta_sem_reconciliacao_com_totais_da_conta
